Date,Week,Day,Running Workout,Strength Workout,Target Pace / Notes
2026-05-03,0,Sunday,Pre-Program Benchmark 5K,None,COMPLETED: 21:47 (7:00 pace). Max HR 183 / HRR 33.
2026-05-04,1,Monday,Rest / Active Recovery,Hip Complex Circuit,20-min: 90/90s / Adductor Rockbacks / Foam Roll
2026-05-05,1,Tuesday,5x1000m Track Intervals,None,1.5mi warmup; 7:15-7:25 pace; 90s rec; 1.5mi cooldown. Pre-run activation.
2026-05-06,1,Wednesday,None,Heavy Strength,Back Squat/RDL/Reverse Nordics/Standing Calf Raises
2026-05-07,1,Thursday,6mi Steady Base,None,8:30-8:45 pace. Pre-run activation.
2026-05-08,1,Friday,None,Stability & Power,Bulgarian Split Squats/Spanish Squat holds/Copenhagen Planks
2026-05-09,1,Saturday,3mi Shakeout,None,Easy 9:30+ pace. If knee >3 swap to bike.
2026-05-10,1,Sunday,8mi Long Run,None,8:45-9:15 pace. Pre-run activation.
2026-05-11,2,Monday,Rest / Active Recovery,Hip Complex Circuit,20-min: 90/90s / Adductor Rockbacks / Foam Roll
2026-05-12,2,Tuesday,6x800m Track Intervals,None,1.5mi warmup; 7:15-7:25 pace; 90s rec; 1.5mi cooldown
2026-05-13,2,Wednesday,None,Heavy Strength,Maintain 3s eccentric descent
2026-05-14,2,Thursday,6mi Progression Run,None,4mi @ 9:00 pace / 2mi @ 8:15 pace
2026-05-15,2,Friday,None,Stability & Power,Focus on Copenhagen Plank adductor tension
2026-05-16,2,Saturday,4mi Shakeout,None,Easy 9:30+ pace
2026-05-17,2,Sunday,Bay to Breakers 15K,None,10mi total; Miles 1-6 @ 8:45-9:15 / Miles 6-9.3 @ 8:00 MP
2026-05-18,3,Monday,Rest / Active Recovery,Hip Complex Circuit,Deload Week Start
2026-05-19,3,Tuesday,4mi Easy,None,9:15-9:30 pace
2026-05-20,3,Wednesday,None,Low Volume Strength,Technique & Mobility focus
2026-05-21,3,Thursday,5mi Easy,None,9:15-9:30 pace
2026-05-22,3,Friday,None,Low Volume Strength,Spanish Squat holds
2026-05-23,3,Saturday,Rest,None,Full Recovery
2026-05-24,3,Sunday,9mi Long Run,None,Easy pace 9:30
2026-05-25,4,Monday,Rest / Active Recovery,Hip Complex Circuit,Pre-benchmark mobility
2026-05-26,4,Tuesday,6x1000m Track Intervals,None,1.5mi warmup; 7:10-7:20 pace; 90s rec; 1.5mi cooldown
2026-05-27,4,Wednesday,None,Heavy Strength,Core stability integration
2026-05-28,4,Thursday,7mi Steady Base,None,8:30-8:45 pace
2026-05-29,4,Friday,None,Stability & Power,Light mobility focus
2026-05-30,4,Saturday,10K Benchmark Race,None,San Mateo PAL's 10K (Seal Point Park)
2026-05-31,4,Sunday,11mi Long Run,None,8:45-9:15 pace
2026-06-01,5,Monday,Rest / Active Recovery,Hip Complex Circuit,Phase 2 Start
2026-06-02,5,Tuesday,4x1600m Track Tempo,None,1.5mi warmup; 7:45 pace; 2m rec; 1.5mi cooldown
2026-06-03,5,Wednesday,None,Heavy Strength,Back Squat/RDL/Reverse Nordics/Standing Calf Raises
2026-06-04,5,Thursday,7mi Progression Run,None,5mi @ 9:00 pace / 2mi @ 8:15 pace
2026-06-05,5,Friday,None,Stability & Power,Bulgarian Split Squats/Spanish Squat holds/Copenhagen Planks
2026-06-06,5,Saturday,3mi Shakeout,None,Easy 9:30+ pace
2026-06-07,5,Sunday,12mi Long Run,None,8:45-9:15 pace. Begin 90g/hr gut training rehearsal.
2026-06-08,6,Monday,Rest / Active Recovery,Hip Complex Circuit,Volume Ramp Phase
2026-06-09,6,Tuesday,4x1600m Track Tempo,None,1.5mi warmup; 7:45 pace; 2m rec; 1.5mi cooldown
2026-06-10,6,Wednesday,None,Heavy Strength,Relative Strength Benchmarks
2026-06-11,6,Thursday,8mi Steady Base,None,8:30 pace
2026-06-12,6,Friday,None,Stability & Power,Knee tracking focus
2026-06-13,6,Saturday,4mi Shakeout,None,Easy 9:30+ pace
2026-06-14,6,Sunday,14mi Long Run,None,inc 5mi @ 8:00 Marathon Pace. Fuel: 90g/hr.
2026-06-15,7,Monday,Rest / Active Recovery,Hip Complex Circuit,Pre-Half Marathon focus
2026-06-16,7,Tuesday,5x1600m Track Tempo,None,1.5mi warmup; 7:45 pace; 2m rec; 1.5mi cooldown
2026-06-17,7,Wednesday,None,Heavy Strength,Structural insurance
2026-06-18,7,Thursday,6mi Progression Run,None,4mi @ 9:00 pace / 2mi @ 8:15 pace
2026-06-19,7,Friday,None,Stability & Power,Spanish Squat holds
2026-06-20,7,Saturday,Rest,None,Taper for HM Benchmark
2026-06-21,7,Sunday,Half Marathon Benchmark,None,Presidio HM. Pivot test: sub-1:44 / HR<170 / Zero knee pain.
2026-06-22,8,Monday,Rest / Active Recovery,Hip Complex Circuit,Deload Week Start
2026-06-23,8,Tuesday,4mi Easy,None,9:15-9:30 pace
2026-06-24,8,Wednesday,None,Low Volume Strength,Mobility & Soft Tissue work
2026-06-25,8,Thursday,6mi Easy,None,9:15-9:30 pace
2026-06-26,8,Friday,None,Low Volume Strength,Spanish Squat holds
2026-06-27,8,Saturday,Rest,None,Full Recovery
2026-06-28,8,Sunday,10mi Long Run,None,Easy aerobic flush
2026-06-29,9,Monday,Rest / Active Recovery,Hip Complex Circuit,Peak Phase Start
2026-06-30,9,Tuesday,6x1600m Track Tempo,None,1.5mi warmup; 7:45 pace; 2m rec; 1.5mi cooldown
2026-07-01,9,Wednesday,None,Heavy Strength,Maintain intensity
2026-07-02,9,Thursday,8mi Steady Base,None,8:30 pace
2026-07-03,9,Friday,None,Stability & Power,Copenhagen Planks focus
2026-07-04,9,Saturday,4mi Shakeout,None,Easy 9:30+ pace
2026-07-05,9,Sunday,16mi Long Run,None,inc 8mi @ 7:55 Marathon Pace. Fuel: 90g/hr.
2026-07-06,10,Monday,Rest / Active Recovery,Hip Complex Circuit,Final Volume Push
2026-07-07,10,Tuesday,3x2mi Track Intervals,None,1.5mi warmup; 7:40 pace; 3m rec; 1.5mi cooldown
2026-07-08,10,Wednesday,None,Heavy Strength,Final heavy session
2026-07-09,10,Thursday,8mi Progression Run,None,6mi @ 9:00 pace / 2mi @ 8:15 pace
2026-07-10,10,Friday,None,Stability & Power,Final power session
2026-07-11,10,Saturday,4mi Shakeout,None,Fueling check (90g/hr)
2026-07-12,10,Sunday,20mi Long Run,None,Peak Distance; Form focus. Fuel: 90g/hr.
2026-07-13,11,Monday,Rest / Active Recovery,Hip Complex Circuit,Taper Phase Start
2026-07-14,11,Tuesday,4x1200m Track @ MP,None,1.5mi warmup; 7:55 pace; 2m rec; 1.5mi cooldown
2026-07-15,11,Wednesday,None,Maintenance Strength,Low volume/High intensity
2026-07-16,11,Thursday,6mi Easy,None,9:15-9:30 pace
2026-07-17,11,Friday,None,Maintenance Strength,Spanish Squat holds
2026-07-18,11,Saturday,Rest,None,Taper consistency
2026-07-19,11,Sunday,10mi Long Run,None,Easy taper distance
2026-07-20,12,Monday,Rest / Active Recovery,Hip Complex Circuit,Race Week Start
2026-07-21,12,Tuesday,2mi + Strides,None,4x20s near sprint
2026-07-22,12,Wednesday,None,Mobility Only,Hip & Ankle focus
2026-07-23,12,Thursday,3mi Easy,None,Mental prep
2026-07-24,12,Friday,Rest,None,Carb loading start
2026-07-25,12,Saturday,2mi Shakeout,None,Quiet feet prep
2026-07-26,12,Sunday,SF MARATHON,None,BASELINE GOAL: 3:30 (8:00 pace)
